,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ ,c Phillips b Southee,114,116,10,3,98.27
1, Vs ,,2,Temba Bavuma(c),c Mitchell b Boult,24,28,4,1,85.71
2, Vs ,,3,Rassie van der Dussen, b Southee,133,118,9,5,112.71
3, Vs ,,4,David Miller,c Mitchell b Neesham,53,30,2,4,176.66
4, Vs ,,5,Heinrich Klaasen,,15,7,1,1,214.28
5, Vs ,,6,Aiden Markram,,6,1,0,1,600.00
6, Vs ,,1,Devon Conway,c Markram b Jansen,2,6,0,0,33.33
7, Vs ,,2,Will Young,c â€ de Kock b Coetzee,33,37,5,0,89.18
8, Vs ,,3,Rachin Ravindra,c Coetzee b Jansen,9,16,1,0,56.25
9, Vs ,,4,Daryl Mitchell,c Miller b Maharaj,24,30,4,0,80.00
10, Vs ,,5,Tom Latham(c)â€ ,c Maharaj b Rabada,4,15,0,0,26.66
11, Vs ,,6,Glenn Phillips,c Rabada b Coetzee,60,50,4,4,120.00
12, Vs ,,7,Mitchell Santner, b Maharaj,7,18,1,0,38.88
13, Vs ,,8,Tim Southee,lbw b Jansen,7,11,1,0,63.63
14, Vs ,,9,James Neesham, b Maharaj,0,8,0,0,0.00
15, Vs ,,10,Trent Boult,c Miller b Maharaj,9,14,1,0,64.28
16, Vs ,,11,Matt Henry,,0,9,0,0,0.00
