,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Devon Conway,c Iyer b Mohammed Siraj,0,9,0,0,0.00
1, Vs ,,2,Will Young, b Mohammed Shami,17,27,3,0,62.96
2, Vs ,,3,Rachin Ravindra,c Shubman Gill b Mohammed Shami,75,87,6,1,86.20
3, Vs ,,4,Daryl Mitchell,c Kohli b Mohammed Shami,130,127,9,5,102.36
4, Vs ,,5,Tom Latham(c)â€ ,lbw b Kuldeep Yadav,5,7,1,0,71.42
5, Vs ,,6,Glenn Phillips,c Sharma b Kuldeep Yadav,23,26,0,1,88.46
6, Vs ,,7,Mark Chapman,c Kohli b Bumrah,6,8,0,0,75.00
7, Vs ,,8,Mitchell Santner, b Mohammed Shami,1,2,0,0,50.00
8, Vs ,,9,Matt Henry, b Mohammed Shami,0,1,0,0,0.00
9, Vs ,,10,Lockie Ferguson,run out (â€ Rahul),1,5,0,0,20.00
10, Vs ,,11,Trent Boult,,0,1,0,0,0.00
11, Vs ,,1,Rohit Sharma(c), b Ferguson,46,40,4,4,115.00
12, Vs ,,2,Shubman Gill,c Mitchell b Ferguson,26,31,5,0,83.87
13, Vs ,,3,Virat Kohli,c Phillips b Henry,95,104,8,2,91.34
14, Vs ,,4,Shreyas Iyer,c Conway b Boult,33,29,6,0,113.79
15, Vs ,,5,KL Rahulâ€ ,lbw b Santner,27,35,3,0,77.14
16, Vs ,,6,Suryakumar Yadav,run out (Santner/Boult/â€ Latham),2,4,0,0,50.00
17, Vs ,,7,Ravindra Jadeja,,39,44,3,1,88.63
18, Vs ,,8,Mohammed Shami,,1,1,0,0,100.00
