,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,David Warner,c sub (Shadab Khan) b Haris Rauf,163,124,14,9,131.45
1, Vs ,,2,Mitchell Marsh,c Usama Mir b Shaheen Shah Afridi,121,108,10,9,112.03
2, Vs ,,3,Glenn Maxwell,c Babar Azam b Shaheen Shah Afridi,0,1,0,0,0.00
3, Vs ,,4,Steven Smith,c & b Usama Mir,7,9,0,0,77.77
4, Vs ,,5,Marcus Stoinis,lbw b Shaheen Shah Afridi,21,24,1,1,87.50
5, Vs ,,6,Josh Inglisâ€ ,c â€ Mohammad Rizwan b Haris Rauf,13,9,3,0,144.44
6, Vs ,,7,Marnus Labuschagne,c sub (Shadab Khan) b Haris Rauf,8,12,1,0,66.66
7, Vs ,,8,Pat Cummins(c),,6,8,0,0,75.00
8, Vs ,,9,Mitchell Starc,c Saud Shakeel b Shaheen Shah Afridi,2,3,0,0,66.66
9, Vs ,,10,Josh Hazlewood,c â€ Mohammad Rizwan b Shaheen Shah Afridi,0,1,0,0,0.00
10, Vs ,,11,Adam Zampa,,1,1,0,0,100.00
11, Vs ,,1,Abdullah Shafique,c Maxwell b Stoinis,64,61,7,2,104.91
12, Vs ,,2,Imam-ul-Haq,c Starc b Stoinis,70,71,10,0,98.59
13, Vs ,,3,Babar Azam(c),c Cummins b Zampa,18,14,3,0,128.57
14, Vs ,,4,Mohammad Rizwanâ€ ,lbw b Zampa,46,40,5,0,115.00
15, Vs ,,5,Saud Shakeel,c Stoinis b Cummins,30,31,5,0,96.77
16, Vs ,,6,Iftikhar Ahmed,lbw b Zampa,26,20,0,3,130.00
17, Vs ,,7,Mohammad Nawaz,st â€ Inglis b Zampa,14,16,0,1,87.50
18, Vs ,,8,Usama Mir,c Starc b Hazlewood,0,3,0,0,0.00
19, Vs ,,9,Shaheen Shah Afridi,c Labuschagne b Cummins,10,8,2,0,125.00
20, Vs ,,10,Hasan Ali,c â€ Inglis b Starc,8,8,2,0,100.00
21, Vs ,,11,Haris Rauf,,0,1,0,0,0.00
