,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ , b Maxwell,109,106,8,5,102.83
1, Vs ,,2,Temba Bavuma(c),c Warner b Maxwell,35,55,2,0,63.63
2, Vs ,,3,Rassie van der Dussen,c sub (SA Abbott) b Zampa,26,30,2,0,86.66
3, Vs ,,4,Aiden Markram,c Hazlewood b Cummins,56,44,7,1,127.27
4, Vs ,,5,Heinrich Klaasen,c â€ Inglis b Hazlewood,29,27,3,0,107.40
5, Vs ,,6,David Miller, b Starc,17,13,1,1,130.76
6, Vs ,,7,Marco Jansen,c Warner b Starc,26,22,3,1,118.18
7, Vs ,,8,Kagiso Rabada,,0,1,0,0,0.00
8, Vs ,,9,Keshav Maharaj,,0,2,0,0,0.00
9, Vs ,,1,Mitchell Marsh,c Bavuma b Jansen,7,15,0,0,46.66
10, Vs ,,2,David Warner,c van der Dussen b Ngidi,13,27,2,0,48.14
11, Vs ,,3,Steven Smith,lbw b Rabada,19,16,4,0,118.75
12, Vs ,,4,Marnus Labuschagne,c Bavuma b Maharaj,46,74,3,0,62.16
13, Vs ,,5,Josh Inglisâ€ , b Rabada,5,4,1,0,125.00
14, Vs ,,6,Glenn Maxwell,c & b Maharaj,3,17,0,0,17.64
15, Vs ,,7,Marcus Stoinis,c â€ de Kock b Rabada,5,4,1,0,125.00
16, Vs ,,8,Mitchell Starc,c â€ de Kock b Jansen,27,51,3,0,52.94
17, Vs ,,9,Pat Cummins(c),c Miller b Shamsi,22,21,4,0,104.76
18, Vs ,,10,Adam Zampa,,11,16,1,0,68.75
19, Vs ,,11,Josh Hazlewood,c Rabada b Shamsi,2,2,0,0,100.00
