,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rahmanullah Gurbaz,c Starc b Hazlewood,21,25,2,0,84.00
1, Vs ,,2,Ibrahim Zadran,,129,143,8,3,90.20
2, Vs ,,3,Rahmat Shah,c Hazlewood b Maxwell,30,44,1,0,68.18
3, Vs ,,4,Hashmatullah Shahidi(c), b Starc,26,43,2,0,60.46
4, Vs ,,5,Azmatullah Omarzai,c Maxwell b Zampa,22,18,1,2,122.22
5, Vs ,,6,Mohammad Nabi, b Hazlewood,12,10,0,1,120.00
6, Vs ,,7,Rashid Khan,,35,18,2,3,194.44
7, Vs ,,1,David Warner, b Azmatullah Omarzai,18,29,3,0,62.06
8, Vs ,,2,Travis Head,c â€ Ikram Alikhil b Naveen-ul-Haq,0,2,0,0,0.00
9, Vs ,,3,Mitchell Marsh,lbw b Naveen-ul-Haq,24,11,2,2,218.18
10, Vs ,,4,Marnus Labuschagne,run out (Rahmat Shah),14,28,2,0,50.00
11, Vs ,,5,Josh Inglisâ€ ,c Ibrahim Zadran b Azmatullah Omarzai,0,1,0,0,0.00
12, Vs ,,6,Glenn Maxwell,,201,128,21,10,157.03
13, Vs ,,7,Marcus Stoinis,lbw b Rashid Khan,6,7,1,0,85.71
14, Vs ,,8,Mitchell Starc,c â€ Ikram Alikhil b Rashid Khan,3,7,0,0,42.85
15, Vs ,,9,Pat Cummins(c),,12,68,1,0,17.64
