,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ ,c â€ Buttler b Topley,4,2,1,0,200.00
1, Vs ,,2,Reeza Hendricks, b Rashid,85,75,9,3,113.33
2, Vs ,,3,Rassie van der Dussen,c Bairstow b Rashid,60,61,8,0,98.36
3, Vs ,,4,Aiden Markram(c),c Bairstow b Topley,42,44,4,0,95.45
4, Vs ,,5,Heinrich Klaasen, b Atkinson,109,67,12,4,162.68
5, Vs ,,6,David Miller,c Stokes b Topley,5,6,1,0,83.33
6, Vs ,,7,Marco Jansen,,75,42,3,6,178.57
7, Vs ,,8,Gerald Coetzee,c sub (LS Livingstone) b Atkinson,3,3,0,0,100.00
8, Vs ,,9,Keshav Maharaj,,1,1,0,0,100.00
9, Vs ,,1,Jonny Bairstow,c van der Dussen b Ngidi,10,12,1,1,83.33
10, Vs ,,2,Dawid Malan,c â€ de Kock b Jansen,6,11,1,0,54.54
11, Vs ,,3,Joe Root,c Miller b Jansen,2,6,0,0,33.33
12, Vs ,,4,Ben Stokes,c & b Rabada,5,8,1,0,62.50
13, Vs ,,5,Harry Brook,lbw b Coetzee,17,25,2,1,68.00
14, Vs ,,6,Jos Buttler(c)â€ ,c â€ de Kock b Coetzee,15,7,2,1,214.28
15, Vs ,,7,David Willey,c Rabada b Ngidi,12,12,1,1,100.00
16, Vs ,,8,Adil Rashid,c Hendricks b Coetzee,10,14,1,0,71.42
17, Vs ,,9,Gus Atkinson, b Maharaj,35,21,7,0,166.66
18, Vs ,,10,Mark Wood,,43,17,2,5,252.94
19, Vs ,,11,Reece Topley,,-,-,-,-,-
