,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ ,c Nasum Ahmed b Hasan Mahmud,174,140,15,7,124.28
1, Vs ,,2,Reeza Hendricks, b Shoriful Islam,12,19,1,0,63.15
2, Vs ,,3,Rassie van der Dussen,lbw b Mehidy Hasan Miraz,1,7,0,0,14.28
3, Vs ,,4,Aiden Markram(c),c Litton Das b Shakib Al Hasan,60,69,7,0,86.95
4, Vs ,,5,Heinrich Klaasen,c Mahmudullah b Hasan Mahmud,90,49,2,8,183.67
5, Vs ,,6,David Miller,,34,15,1,4,226.66
6, Vs ,,7,Marco Jansen,,1,1,0,0,100.00
7, Vs ,,1,Tanzid Hasan,c â€ Klaasen b Jansen,12,17,1,0,70.58
8, Vs ,,2,Litton Das,lbw b Rabada,22,44,3,1,50.00
9, Vs ,,3,Najmul Hossain Shanto,c â€ Klaasen b Jansen,0,1,0,0,0.00
10, Vs ,,4,Shakib Al Hasan(c),c â€ Klaasen b Williams,1,4,0,0,25.00
11, Vs ,,5,Mushfiqur Rahimâ€ ,c sub (AL Phehlukwayo) b Coetzee,8,17,1,0,47.05
12, Vs ,,6,Mahmudullah,c Jansen b Coetzee,111,111,11,4,100.00
13, Vs ,,7,Mehidy Hasan Miraz,c sub (AL Phehlukwayo) b Maharaj,11,19,1,0,57.89
14, Vs ,,8,Nasum Ahmed,c & b Coetzee,19,19,3,0,100.00
15, Vs ,,9,Hasan Mahmud,c Coetzee b Rabada,15,25,2,0,60.00
16, Vs ,,10,Mustafizur Rahman,c Miller b Williams,11,21,2,0,52.38
17, Vs ,,11,Shoriful Islam,,6,4,1,0,150.00
