,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Fakhar Zaman,c & b van Beek,12,15,3,0,80.00
1, Vs ,,2,Imam-ul-Haq,c Dutt b van Meekeren,15,19,2,0,78.94
2, Vs ,,3,Babar Azam(c),c Saqib Zulfiqar b Ackermann,5,18,0,0,27.77
3, Vs ,,4,Mohammad Rizwanâ€ , b de Leede,68,75,8,0,90.66
4, Vs ,,5,Saud Shakeel,c Saqib Zulfiqar b Dutt,68,52,9,1,130.76
5, Vs ,,6,Iftikhar Ahmed,c â€ Edwards b de Leede,9,11,1,0,81.81
6, Vs ,,7,Mohammad Nawaz,run out (van Meekeren/Ackermann),39,43,4,0,90.69
7, Vs ,,8,Shadab Khan, b de Leede,32,34,2,1,94.11
8, Vs ,,9,Hasan Ali,lbw b de Leede,0,1,0,0,0.00
9, Vs ,,10,Shaheen Shah Afridi,,13,12,2,0,108.33
10, Vs ,,11,Haris Rauf,st â€ Edwards b Ackermann,16,14,2,1,114.28
11, Vs ,,1,Vikramjit Singh,c Fakhar Zaman b Shadab Khan,52,67,4,1,77.61
12, Vs ,,2,Max O'Dowd,c Shaheen Shah Afridi b Hasan Ali,5,12,1,0,41.66
13, Vs ,,3,Colin Ackermann, b Iftikhar Ahmed,17,21,3,0,80.95
14, Vs ,,4,Bas de Leede, b Mohammad Nawaz,67,68,6,2,98.52
15, Vs ,,5,Teja Nidamanuru,c Fakhar Zaman b Haris Rauf,5,9,1,0,55.55
16, Vs ,,6,Scott Edwards(c)â€ ,lbw b Haris Rauf,0,2,0,0,0.00
17, Vs ,,7,Saqib Zulfiqar,lbw b Shaheen Shah Afridi,10,18,1,0,55.55
18, Vs ,,8,Roelof van der Merwe,run out (Babar Azam/â€ Mohammad Rizwan),4,7,0,0,57.14
19, Vs ,,9,Logan van Beek,,28,28,3,1,100.00
20, Vs ,,10,Aryan Dutt, b Hasan Ali,1,2,0,0,50.00
21, Vs ,,11,Paul van Meekeren, b Haris Rauf,7,12,1,0,58.33
