,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Pathum Nissanka,c Abdullah Shafique b Shadab Khan,51,61,7,1,83.60
1, Vs ,,2,Kusal Perera,c â€ Mohammad Rizwan b Hasan Ali,0,4,0,0,0.00
2, Vs ,,3,Kusal Mendisâ€ ,c Imam-ul-Haq b Hasan Ali,122,77,14,6,158.44
3, Vs ,,4,Sadeera Samarawickrama,c â€ Mohammad Rizwan b Hasan Ali,108,89,11,2,121.34
4, Vs ,,5,Charith Asalanka,c â€ Mohammad Rizwan b Hasan Ali,1,3,0,0,33.33
5, Vs ,,6,Dhananjaya de Silva,c Shaheen Shah Afridi b Mohammad Nawaz,25,34,3,0,73.52
6, Vs ,,7,Dasun Shanaka(c),c Babar Azam b Shaheen Shah Afridi,12,18,0,0,66.66
7, Vs ,,8,Dunith Wellalage,c Abdullah Shafique b Haris Rauf,10,8,1,0,125.00
8, Vs ,,9,Maheesh Theekshana, b Haris Rauf,0,4,0,0,0.00
9, Vs ,,10,Matheesha Pathirana,,1,3,0,0,33.33
10, Vs ,,1,Abdullah Shafique,c sub (MADI Hemantha) b Pathirana,113,103,10,3,109.70
11, Vs ,,2,Imam-ul-Haq,c Perera b Madushanka,12,12,1,0,100.00
12, Vs ,,3,Babar Azam(c),c â€ Samarawickrama b Madushanka,10,15,1,0,66.66
13, Vs ,,4,Mohammad Rizwanâ€ ,,131,121,8,3,108.26
14, Vs ,,5,Saud Shakeel,c Wellalage b Theekshana,31,30,2,0,103.33
15, Vs ,,6,Iftikhar Ahmed,,22,10,4,0,220.00
