,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c),c Livingstone b Rashid,87,101,10,3,86.13
1, Vs ,,2,Shubman Gill, b Woakes,9,13,1,0,69.23
2, Vs ,,3,Virat Kohli,c Stokes b Willey,0,9,0,0,0.00
3, Vs ,,4,Shreyas Iyer,c Wood b Woakes,4,16,0,0,25.00
4, Vs ,,5,KL Rahulâ€ ,c Bairstow b Willey,39,58,3,0,67.24
5, Vs ,,6,Suryakumar Yadav,c Woakes b Willey,49,47,4,1,104.25
6, Vs ,,7,Ravindra Jadeja,lbw b Rashid,8,13,0,0,61.53
7, Vs ,,8,Mohammed Shami,c â€ Buttler b Wood,1,5,0,0,20.00
8, Vs ,,9,Jasprit Bumrah,run out (â€ Buttler),16,25,1,0,64.00
9, Vs ,,10,Kuldeep Yadav,,9,13,1,0,69.23
10, Vs ,,1,Jonny Bairstow, b Mohammed Shami,14,23,2,0,60.86
11, Vs ,,2,Dawid Malan, b Bumrah,16,17,2,1,94.11
12, Vs ,,3,Joe Root,lbw b Bumrah,0,1,0,0,0.00
13, Vs ,,4,Ben Stokes, b Mohammed Shami,0,10,0,0,0.00
14, Vs ,,5,Jos Buttler(c)â€ , b Kuldeep Yadav,10,23,1,0,43.47
15, Vs ,,6,Moeen Ali,c â€ Rahul b Mohammed Shami,15,31,0,0,48.38
16, Vs ,,7,Liam Livingstone,lbw b Kuldeep Yadav,27,46,2,0,58.69
17, Vs ,,8,Chris Woakes,st â€ Rahul b Jadeja,10,20,1,0,50.00
18, Vs ,,9,David Willey,,16,17,0,2,94.11
19, Vs ,,10,Adil Rashid, b Mohammed Shami,13,20,2,0,65.00
20, Vs ,,11,Mark Wood, b Bumrah,0,1,0,0,0.00
