,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Tanzid Hasan,lbw b Shaheen Shah Afridi,0,5,0,0,0.00
1, Vs ,,2,Litton Das,c Agha Salman b Iftikhar Ahmed,45,64,6,0,70.31
2, Vs ,,3,Najmul Hossain Shanto,c Usama Mir b Shaheen Shah Afridi,4,3,1,0,133.33
3, Vs ,,4,Mushfiqur Rahimâ€ ,c â€ Mohammad Rizwan b Haris Rauf,5,8,1,0,62.50
4, Vs ,,5,Mahmudullah, b Shaheen Shah Afridi,56,70,6,1,80.00
5, Vs ,,6,Shakib Al Hasan(c),c Agha Salman b Haris Rauf,43,64,4,0,67.18
6, Vs ,,7,Towhid Hridoy,c Iftikhar Ahmed b Usama Mir,7,3,0,1,233.33
7, Vs ,,8,Mehidy Hasan Miraz, b Mohammad Wasim,25,30,1,1,83.33
8, Vs ,,9,Taskin Ahmed, b Mohammad Wasim,6,13,0,0,46.15
9, Vs ,,10,Mustafizur Rahman, b Mohammad Wasim,3,7,0,0,42.85
10, Vs ,,11,Shoriful Islam,,1,4,0,0,25.00
11, Vs ,,1,Abdullah Shafique,lbw b Mehidy Hasan Miraz,68,69,9,2,98.55
12, Vs ,,2,Fakhar Zaman,c Towhid Hridoy b Mehidy Hasan Miraz,81,74,3,7,109.45
13, Vs ,,3,Babar Azam(c),c Mahmudullah b Mehidy Hasan Miraz,9,16,1,0,56.25
14, Vs ,,4,Mohammad Rizwanâ€ ,,26,21,4,0,123.80
15, Vs ,,5,Iftikhar Ahmed,,17,15,2,0,113.33
