,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rahmanullah Gurbaz,c Klaasen b Maharaj,25,22,3,1,113.63
1, Vs ,,2,Ibrahim Zadran,c â€ de Kock b Coetzee,15,30,3,0,50.00
2, Vs ,,3,Rahmat Shah,c Miller b Ngidi,26,46,2,0,56.52
3, Vs ,,4,Hashmatullah Shahidi(c),c â€ de Kock b Maharaj,2,7,0,0,28.57
4, Vs ,,5,Azmatullah Omarzai,,97,107,7,3,90.65
5, Vs ,,6,Ikram Alikhilâ€ ,c â€ de Kock b Coetzee,12,14,1,1,85.71
6, Vs ,,7,Mohammad Nabi,c â€ de Kock b Ngidi,2,3,0,0,66.66
7, Vs ,,8,Rashid Khan,c â€ de Kock b Phehlukwayo,14,30,0,0,46.66
8, Vs ,,9,Noor Ahmad,c â€ de Kock b Coetzee,26,32,4,0,81.25
9, Vs ,,10,Mujeeb Ur Rahman,c Markram b Coetzee,8,5,0,1,160.00
10, Vs ,,11,Naveen-ul-Haq,run out (Rabada),2,4,0,0,50.00
11, Vs ,,1,Quinton de Kockâ€ ,lbw b Mohammad Nabi,41,47,2,3,87.23
12, Vs ,,2,Temba Bavuma(c),c Rahmanullah Gurbaz b Mujeeb Ur Rahman,23,28,3,0,82.14
13, Vs ,,3,Rassie van der Dussen,,76,95,6,1,80.00
14, Vs ,,4,Aiden Markram,c Naveen-ul-Haq b Rashid Khan,25,32,1,1,78.12
15, Vs ,,5,Heinrich Klaasen, b Rashid Khan,10,13,1,0,76.92
16, Vs ,,6,David Miller,c & b Mohammad Nabi,24,33,1,1,72.72
17, Vs ,,7,Andile Phehlukwayo,,39,37,1,3,105.40
